,댓글
361,이날 잠도 못잤었는데~~ 김연아 선수는 더 했을테죠? 역대 대한민국 최고의 선수는 김연아 아닐까요? 진짜 피겨는 늘 다른나라 일로 치부되었었는데 김연아 선수땜 몇년간 행복했었죠
362,이탈리아 해설의 분노가 느껴진다
363,연아 그대는 전설이야 아직도 연아마큼 잘하는 사람 못봄~♡그대는 전설입니다~♡
364,이래서 믿을수 있는 사람의 평가인을 두어야해ㅋㄲㅋ ㅅㅂ 칭찬 누구보다 많이 했는데 은매달
365,김연아가 우승해도 대박이였겠지만. 이일로 피겨에서 잊을수도 없게 되었죠~
366,진짜 이 사건과 펜싱의 1초는 너무 아깝다
367,해설위원님들 이 코로나 사태에 무사하시길 바라겠습니다 심사위원은 꼭 가길 바래요^^
368,진짜 고1때보고 욕 저절로 나왔지...지금 다시 생각해도ㅠㅠㅠ
369,소트니코바 경쟁 상대가 미국 같은 덩치 큰 나라의 선수였다면 결과가 어떻게 됐을까... 실력은 김연아 선수처럼 압도적으로 잘한다는 가정하에
370,아 눈물나
371,은메달이 금메달보다 더 빛나고 예쁜 순간이 딱 이순간밖에 없다
372,어른들이 하는짓이 그래... 미안해요 연아양
373,아...진짜 소치는 볼때마다 빡치네...하 졸 열받네...........그래도 연아는 우리의 보물인건 변함없다
374,6년전 일인데도 이때를 생각하면 아직도 화가 올라온다 (>_<)
375,"김연아,, 1000년에 한 번 나올까 말까한 천재적인 재능과 끈기가 갖춰진 사람"
376,김연아 팬은 아니지만 대단하긴했지.
377,보는 국민들도 개빡치는데 연아느님은 모든걸 초월했다는... 저 모습이..더 안타까웠음...ㅠㅠ
378,세계가 같이 분노해줘서 그저 고맙네
379,다시봐도 열받네 울갓연느님 금메달 내놔라
380,김연아선수 점수발표하기전에 이미알고 눈물흘리는거 몇년이지난 지금다시봐도 마음이 너무아프다ㅠ
381,이렇게 영상으로봐서 차이가 많이 나는데 이상하다 생각하는겁니다. 실제로 현장에서보죠? 거의 프로랑 유치원생 수준급으로 차이나요. 기술을떠나서 대쉬에서부터 차이나요. 한쪽은 포르쉐고 다른애들은 티코에요.
382,세계가 연아가 금메달이라고 인정했다. 내가 지금도 이렇게 속상한데...
383,유일하게 금메달보다 가치가 높은 은메달을 받은 경기
384,"평창에 이어 도쿄 올림픽도 러시아 대표팀은 부끄럽게도 자국기를 달 지 못하는 굴욕을 당했지... 도핑도 도핑이지만,,,저렇게 심사 까지도 부정부패였던 팀 러시아... 저렇게 까지 금메달을 따고 싶었을까....만약 김연아가 미국이나 캐나다 대표 였다면... 재심사를 했었을 듯..."
385,분명 소트니코바도 어릴때부터 혹독하게 훈련받고 끊임없이 연습했겠지만 안타깝게도 상대가 김연아여서 금메달을 받음과 동시에 비난을 받음... 어쩔수가없는게 상대(김연아)가 넘사벽이었다..
386,내가 소트니코바였으면 ㅈ같아서 안받는다 했을거 같은데.... 나도 야구를 진지하게 했던 사람으로서 심판이 자꾸 우리측에 유리한 판정을 대놓고 해서 말한적이있음
387,금메달을 따위로 표현할수 있을만한 저 우월한 우아함은 연아만 가지고 있는거 같습니다
388,세계가 아름답게 만든 은메달
389,정말 아름답고 우아한  우리들의 여왕
390,ㅋㅋㅋ 근데 우리도 88올림픽 때 우리한국선수한테  부정 점수 준것도 많앗움
391,예전에는 소치 영상도 슬퍼서 못보고 중간에 끄곤 했었는데 더이상 화가 나지 않는 이유는 은메달과 함께 여왕의 품격을 남겼고 소트니코바는 금메달을 가지고 정말 나락으로 빠졌다고 생각함. 그 뒤로의 행보가 정말 안타깝고 불쌍할 정도로
392,처음에 이탈리아 특유의 오디오 비지 않으며 주접떠는 것부터 도둑질 까지 완벽한 해설
393,은이 금보다 더욱 가치 있었던 경기인듯 하네요 러시아는 금메달의 가치를 떨군거
394,내가 다 불편할 정도로 칭찬을 많이 해주시네 신가하다
395,Получать золото должен достойный золота.
396,"인류 역사상 가장 위대한 업적을 남기는 그 장면을 어느 누구 한치의 의심도 하지 않은 이 순간을…..     너.희.들.은. 강.도.짓,으.로   빼.앗.아.갔.다"
397,진실은  왜곡될수 없어요 ~~~ 손바닥으로 태양을 가려라~ 연아 쵝오!!!
398,7080세대에게 박찬호 박세리가 있었다면 90세대에겐 박지성과 김연아가 있다..
399,공산 국가는 조작이 생활화되서 어쩔수없음 공산 국가에서 하계 동계 올림픽을 개최하는것 자체가 스포츠 중약소국 선수들에게 고통임
400,이때 제가 학교 도서관에서 일할 때였는데 정말 분해서 하루종일 일 하는게 집중이 안 됐던게 기억이 나네요.
401,아직도 볼때마다 소름이돋아 화가나서
402,오랜만에 이영상을 다시 보네..와..이때 헐.. 김연아 점수나오고 나뿐만이 아니라 이때 같이 있던 사람들 다 욕하면서 자리에서 일어났던 생각이 나네..지금 봐도 열받는다.
403,하지만 연아는 금빛 찬란하다.. 역시 우리연아........사랑해 대한민국의 딸..
404,진짜 나라가 힘이 없으니까 인정받아야 할 사람도 인정 못 받고
405,연느님 고생 많았다 진짜
406,우앙..ㅠㅠ 오랜만에 보는데 연아 너무 이쁘자나..ㅠㅜ
407,더럽고 무식한 금메달 세사에서 제일 빛난 은메달
408,전세계인들은 메달따위 신경안씀.....여왕은 한명임. 우리 연아 최고다!!!
409,제목을 이태리어로만 달아주셔도 이태리사람들은 진실을 알것같아요 동일 영상 만들어주세요 영어제목 영어자막이면 더 좋을듯 하구요♡♡
410,"김연아가 진게 아니다, 나라가 진것 뿐이다."
411,여왕의 품격~ 억울 했을텐데 차후 행동이 더 존경스러움
412,저때만 생각하면  지금도 답답해져서 주저리 적었습니다...ㅜㅠ
413,전문가가 아닌 우리들의 눈에도 프로와 아마추어의 대결이였음.
414,김연아선수   음악에 대한  표현력이  예술임.  러시아는  편파판정 으로  역사에  남을   수치스런   올림픽 .
415,은이 금보다 빛난 유일한 순간이었다....ㅜㅜ
416,세상이 1등만 기억한다는 말을 반증하는 내 지식 선에서 아는 유일한 사건
417,더러운 편파판정에도 세계가 인정하는 연느님 존경합니다.
418,이 이후로 금메달이 더 간절한 사람에게 간 것 같다는 말씀을 남기셨죠...
419,연느 금은 당연하고 저때 카롤리나도 역대급으로 잘해서 뒤이어 은메달각이었는데 나방땜에 메달색이 바뀜.. 우리나라 못지않게 빡칠 만함
420,4년이 지나고도 1년이 지났는데도 잊지를 못해요~
421,근데 저당시 김연아가 존나 먼치킨급이였음 갑자기 아무것도 없는 나라에서 어떤 얘가 최고기록 갱신하면서 다 씹어먹는거 상상도 못했지
422,갓연아 당신은 그야 말로 도둑책
423,근데 이렇게 은메달 딴게 뭔가 더멋있는거 같음 자신이 어떤 존재인지 알려준 느낌이랄까
424,"미국인데요, 저때 미국 해설자들도 열받아했어요 진심..."
425,선수들의 4년간의 피와 땀의 결실이 올림픽 메달로 결정되고 가치가 매겨지는데 이렇게 도둑질 당하는건 용납못하지
426,힘없는 나라에서 불운의 천재들이 왜이리 많은지
427,"그래요, 금메달을 빼앗기긴 했지만 연아퀸은 올림픽 2연패 달성한 게 사실이죠. 너무너무 아름다웠어요!!"
428,"김연아, 당신이 금메달입니다"
429,연느님 생일선물로 소치 금메달과 소트니코바의 수급을 드렸으면 속이 다 후련하겠다!
430,지금 다시 봐도 너무 짜증나요 러시아 이 미친나라 도둑질 해 가져간 우리 퀸 연아의 금메달을 얼른 내놔라 미친 심판들아!!!
431,와..지금봐도 빡침...갓연아 당신이 챔피언이에요!!!
432,자국 카로는 동땄는데 카로는 한마디도 안하고 은메달 딴 김연아 이야기만 할 정도로 열받은게 레전드
433,가끔 우유마시면서 봄 이게 고구마여서
434,그녀의 연기를 본 사람이라면 세계 그 어느 누구도 의심치 않았겠죠. 환상 그자체 어떻게 보더라도 달리 볼 수 없었는데... 그냥 분노뿐.
435,그저 돈으로 산 더러운 금메달을 목에건 러시아 노력과 노력으로 가장 빛나는 은메달을 목에건 퀸연아 선수~!!! 은메달에 감춰진 가장 값진 금메달입니다.
436,아...연아.... 보고싶다...ㅠㅠ
437,로씨아는 언제나 140프로 옳은 국가임
438,아 깜짝이야 연느님이 은메달인거에 분노한게아니라 금메달이 아닌거에 분노하는거였서ㅓ.....
439,퀸연아는 이 개같은 상황 속에서도 우아함을 잃지 않았음~ 괜히 여왕님이 아님
440,내 생전에 피겨에서 몇 년 간 정점 찍은 걸 볼 수 있어서 좋았습니다
441,ㅋㅋㅋ참나 그래 금메달가져가라 연아가 여왕이라는건 변치않으니
442,아직도 저때만 생각하면 피가 거꾸로 솟는다
443,유느 치느 연느... 그저 우리나라의 빛이다
444,무엇보다 러시아가 피겨에서 금메달 훔치려고  얼마나 뒷에서 개쓰레기 짓을 했는지 알수경기 피겨가 얼마나 정치적인 스포츠인지 알수 있는 에휴 대단한 퀸연아
445,2022현제 올림픽을 보아도 연아가 얼마나 대단한 선수인지 알수있다 비교할수 없는 선수 ^^
446,그어떤 대회에서도 포디움에 들어가보지도 못한게 올림픽 금메달ㅋㅋㅋㅋㅋ
447,세상사람들이 다알았어요. 피겨 전문가가 이니더라도 금메달이였단걸. 왜? 라시아에서 열렸기때문에.
448,이날 하루는 모두에게 은메달의 가치가 금메달의 가치를 뛰어넘었다.
449,은이 금보다 가치있는 순간이었던 순간
450,우리나라 사람들 참 착해 해외였으면 저상황에 거리나가서 폭동나고 해당국가 물건 가게 다 때려부시는데.. 아 러시아는 부실 브랜드가 없나
451,정말 다시 금메달로 돌아온다면 좋겠지만 제가 만약 연아여왕님이라면 저 많은 금들 사이에서 더 빛나고 가장 뜻깊은 은메달이라고 생각 할 것 같아요... 물론 저 형광나방을 옹호하는 건 절대 아니구요
452,우리나라도 태권도와 리듬체조에서 소트니코바처럼 그런적이 있었죠. 우리가 당해도 해도 안될일이고 반복되지않게 다른 방법이 필요할것같아요.
453,세상에서 가장 하찮은 금메달과 가장 고귀한 은메달
454,우리 연아의 브랜드는 저갓 메달로 평가할수 없습니다.....고생했습니다
455,저기서 언급된 카타리나선수도 방송에서 진행하는 사람이 진정하라고할정도로 화가났었죠 마지막에도 이건 아니라고할정도로..진짜 역대급 강도질이였던..
456,사실 김연아 선수도 예상하고 있었을 거 같음.. 2013 올림픽 출전권 따는 대회에서도 금메달은 얻었지만 점수가 생각보다 잘 안 나와서;; 소련에서도 분위기가 험악했다하니ㅠ 러시아는 진짜 이번에 징계먹어서 국기도 못 달고 나오던데 그런데도 정신 못 차리면 진짜ㅋㅋ
457,힘으로 모든걸 다해버리네
458,지금이라도 사과하고 금메달 주인한테 돌려줘라
459,난 예전부터 제일 궁금한 건데 심사위원들 무슨 기준으로 점수 매기고 그 자리에 앉히는 거임?
460,국뽕없이 진짜 존나 아름다웠다
461,진짜 금메달 뺏은 건 강도질이다 ㅋㅋㅋㅋㅋㅋ
462,소트니코바는 이후로 모두에게 잊혀졌죠... 반면 김연아는 역사에 남았죠
463,썸넬 이탈리아 이렐리아로 보고 영상 들어와서 이탈리아인걸 확인후 내가 진정한 롤창이라는걸 확인하였다
464,이미 메달의 색깔따윈 중요치 않은 수준까지 간거지 방구석 추측이지만 저때가 마지막 올림픽이었기 때문에 후련하다 라는 마음이 제일 컸을것 같고 어차피 아무도 러시아 선수를 금메달로 인정하지 않았고 김연아 본인도 그걸 알기때문에 난 떳떳하다는 마음에서 나오는 여유가 아니었을까 
465,안창림선수 아시안게임보고 다시왔다 안창림선수가 인터뷰에서 지금은 사람들이 알아도 수년지나고나면 남는건 진 기록만 남을텐데...
466,정말 왜저런거지;; 본인들의 명예와 고작 금메달 하나를 바꾸는 나라 당신들의 명예는 고작 그정도 가치입니까?
467,3:32 심판과 포옹 러시아는 평창ㆍ도쿄 전부 러시아로 못나옴 국가적 도핑에 연루돼서... 심판매수도 좀 파보지... 러시아올림픽 미국vs러시아  1ㆍ2위다툼중이었는데 저 금메달로 러시아 1위했음
468,연아의 멘탈이란 정말...월드를 넘어선듯... 저상황에서도 의연해..
469,김연아의 쿨함 이것이 대한민국 피겨여왕 김연아지~ 순위보다 중요한건 그녀자신과 세계가 인정한 실력이다 강도질까지 해서 천박하게 순위에 연연하는것 자체가 비교불가수준
470,러시아선수 결과 알자마자 가족한테 달려가서 기뻐하는거 개빡치네........수치라는걸 모르나? 진짜 러시아 이름에 흑칠되고 오히려 우리나라 이름에 금칠 된 경기이다!
471,"나같으면 극대노해서 소리지를거같은데 웃음만 보이네... 진짜 레전더리 그 자체, 레전드레벨이다."
472,유튜브 알고리즘에 선택 받으셨습니다.
473,여러분이 모르고 있는 사실 하나!!! 푸틴의 검은 파워가 올림픽을 망친것입니다. 누가 뭐래도 김연아는 최고입니다ㅠㅡㅠ
474,저런 식으로 주는 메달색 따윈 관심없어요 김연아 사랑합니다♡
475,자신에게 한점 부끄럽지 않게 모든 열정을 쏟은 사람에겐 저런 엉터리 결과도 종국에는 중요하지 않은 것. 자기 자신에 그리고 세상이 알아주는 승리의 가치를 김연아는 누구보다 더 잘 아는 사람. 십여년이 더 지난 지금도 여왕으로 추앙되는 아름다운 사람.
476,"롤드컵에서 패배하여도 페이커가 전설의 미드라이너로 남듯,  김연아도 금메달을 따지 못하여도 전설로 남을 대상이다."
477,"근데 사실상 저건 소트니코바 선수생활 역사상 가장 최대의 업적일거고, 김연아는 그랜드슬램도 달성하고 조져놓은 업적이 하도 많아서 불곰국에서 열린 올림픽정도야 타격1도 없을거고 우스운 수준이지. 김연아는 아마 이 몸이 이렇게 완벽한 퍼포먼스를 선보였는데 감히 친목질이나 하는 심사위원단에겐 괘씸한 생각이 들었을 수도 있겠지만, 소트니코바에 대해선 아마 속으로 대국적인 마인드로 ‘그래 ㅈ만아 그거 받아서 니가 좋음 됐다’ 했을거임. 김연아한텐 그냥 아사다마오 슬라빅버전이었을듯"
478,"소트니코바, 러시아를 제외, 전세계가 분개했다는 것만으로도 이미 김연아가 이긴거임"
479,내가 1등 선수였으면 김연아 금메달 주고 훈훈하게 교과서에 실리겠다
480,세상에서 가장 더러운 금메달을 받은 형광 나방과 가장 깨끗하고 빛나는 은메달을 받은 우리의 은반 위에 여왕님
481,러시아가 여자 피겨를 망쳐놨어요!!
482,연느님도 어이없는지 웃네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
483,김연아도 화나지만 4위 선수도 개빡칠 것 같음 ㅋㅋㅋㅋ
484,2등은 잊혀지고 1등만 기억에 남는다는 법칙을 정면으로 부정한 일.
485,"이탈리아 해설도 자국선수보다 인정한게 김연아,,,"
486,연아느님은 한국에 자랑이에요
487,저방송 본사람으로서 연아는 니들이 그럼 그렇지하는 표정 아님 관심 없다 후배들 티켓 챙겨줄려고 나온거니까 이런 표정
488,왜 김연아가 더 잘했는가 때문에 쇼트종목  점프 발목 토 럿츠등 자세한 규정을 알고보니  이건뭐  정말 상대도 안되는것 이었음..   소트니 코바 점프는 죄다 감점... 피겨선수들  스핀때문에 장이 돌아가는 경우도 생긴다는데.....  열심히 해준 김연아 선수 행복했습니다.
489,이 판정 한 러시아 위원의 자격박탈을 적극적으로 지지합니다.
490,러시아가 진짜 실수한게 다른건 다 맘대로 해도 김연아는 건들지 말았어야지
491,러시아는 다시한번 소련 때의 권력 명예를 원하고 있고 지금 이추세에서 큰 흔들림이 없다면  향후 100년후엔 충분히 가능하다
492,내가 소바였으면 진짜 멋있게 진실폭로하고 금메달 반납했을텐데 ㅋㅋ 세상 사람들이 다 봤잖아 김연아가 어떻게 했는지를. 부끄러움을 모르니 좋다고 받았겠지
493,중국 동계올림픽 쇼트트랙보고 빡쳐서 여기까지 옴
494,같이 분노해주어서 감사합니다
495,대부분의 사람들이 스포츠 경기 감상을 즐기는 이유는 끝까지 어떻게 될지 모른다는 긴장감 같은 것 때문인데 시작도 전에 이미 결과가 정해져 있다면 그걸 더 이상 스포츠라고 부를 수 있나
496,피겨 암것도 모르고봤었는데 연아 무대보고 소름끼쳤음. 다른 선수들과는 차원이 다르더라. 근데 은메달 ㅠㅠ 어이없었지
497,이때 할머니집에 모여서 고모들이랑 고모부들 할머니 엄마아빠 같이 보는데 어른들이 과일먹다 개빡쳤던기억있음진짜..초딩인생중 그렇게 다같이 화냈던거 처음이였다
498,표정관리 잘 하다가 북받쳐서 눈물 닦는거 너무 속상하다%%
499,우리 나태한 30대 연금수익자이자 대한민국의 위대한 위인. 김연아 위인께서도 이 영상을 보시려나? 너무예쁘다...
500,이때  개빡쳐서 롤 점마들써버 들어가서 트롤했던거 기억난다
501,더럽게 이기는것보다 아름답게 지는게 더 낫다 이 말이 어울리는데? 아니지 연아킴은 아름답게 이겼고 좆트니코바는 더럽게 진거지
502,그래도 연아양은 대한민국의 챔피언 입니다.
503,세상 수식어 다 붙여서 칭찬하네 내가 김연아였으면 이거 힘들때마다본다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
504,"사회주의에서 본인들의 결과를 얻기위해 과정의 명예는 중요하지 않죠.. 막시즘 자체가 과정에서의 물리적 폭력또한 ""어쩔수 없다""  라고 하니... 현재의 중국 러시아 ,  과거 동독 등등. 그 결과를 위해 선수에게 행한 것들이 어땠는지 보면 알수있죠..."
505,금빛보다 더 아름답고 부드러운 은빛이 있구나
506,갓 연 아
507,소트니코바 부끄러운줄 알아라! 너는 세상에서 가장 부끄러운 금메달을 딴거다!
508,다시봐도 열받네... 진짜 빼앗긴 금메달
509,할말 여과없이 다하는 이탈리아 해설자들.. 아주 칭찬해
510,내가 저 러시아 선수면 쪽팔려서라도 금메달 못 받겠다. 진짜 화나네
511,연아야 넌 최고였고 지금도 최고야 꽃길만걷자ㅋ
512,부당한 심사때문에 결과적으로 더 빛나는 연아... 왜냐면 누가 봐도 분명하니까.
513,일본 유도 사기친것도 그랬지만 진짜 전세계인 다보는데 대놓고 주작질하고 로비받은거 티내는 쓰레기들 겁나많음. 상상이상으로 올림픽도 막장이더만.
514,이때 너무 화나서 티비 부술뻔했는데 연아언니 우는거보고 맘약해져서 같이 울었는데
515,메달의 색은 중요하지 않다는 것을 알려준 김연아는 명실상부 빙상의 여제고 그 전설은 영원할거다 진짜 대단한 선수...
516,지금봐도 열받는다.
517,러시아 역사상 최고의 저주가 될것이다... 수십년이 지나도  변하지 않을것이다... 그리고... 한국은  전세계 스포츠에서  약소국일  뿐이다...  힘내라  대한민국 장하다  연아퀸~~~
518,해설이 비교도 안된다는거 실화냐ㅋㅋㅋ
519,솥년은 갈라쇼에서  젤쉬운 더블악셀 마저 불안한 랜딩 해놓고 본인은 우아했다 금메달 연기였다 생쇼질을 인스타에 올렸던데요 ㅋㅋㅋㅋㅋㅋ 지금은 없음 분명 149. 몇  점 점수 나오는거 기뻐하는것도 있었고 나는 금메달이다 이러면서요
520,이게 국력의차이다 대한민국이라는 나라가 더강해져야한다
521,ㅋㅋㅋ뭐 이젠 영상이 남아있어서 ~ 후대에 판단하겠지 ㅋㅋ 어차피 내맘속 금메달은 연아뿐 ㅋㅋ
522,우리나라가 피겨에 투자하지 않는 이상 소치에서 더 나아갈 곳은 없다
523,아 스벅 또 기분이 참 안 좋아지네...ㅎ 우리의 영원한 퀸이야 진짜...ㅜㅜㅜㅜㅜㅜ힝구
524,나 이때 라이브 보면서 존나 울었음 ㅅㅈ
525,채점하는 법 잘 몰라도 이 경기랑 레미제라블 경기에서 세계신기록 또 세울 수도 있겠다 생각했었는데 ㅠㅠ). 아쉽지만 다행히 국제적으로도 어차피 소트니코바 금메달로 인정하는 분위기가 아니여서 그나마 위안이였죠. 시간이 지나도 굉장히 아쉽네요 아직도ㅎㅎ
526,나라가 힘이 없어서 미안해....연아
527,왜 우리 스포츠를 망치려고 합니까? 러시아.
528,다시 봐도 열받네 진짜.....
529,갑자기 떠서 봤는데 지금도 속에서 천불이 올라 오네요
530,아니 불법 안 걸릴려면 그럴 듯 하게 하던가..차라리 걸리질 말던가....
531,2:46 해설위원 빡침 시작
532,러시아 피겨팬들도 솥 금메달로 인정 안함ㅋㅋㅋㅋㅋ 맨날 쉬쉬하지.. 그때 메달권에서 밀려난 리프니츠카야가 오히려 더 아이스쇼에서도 많이 초청되고 인정받음
533,하... 이때 그냥 은메달이고 지랄이고 다 집어던지고 한국왔으면 했다ㅋㅋㅋ 사람새끼고 뇌가있으면 무조건 김연아가 잘한거 알껀데
534,지금도그때의분함이잊혀지질않네.내인생첨으로네이버에댓글달았었지.완전빡쳐서올림픽위원회에제소하라고썼었다.김연아 영원한우리의 퀸!!!
535,지금에서 다시봐도  개킹받네 진짜...
536,이탈리아 자기 나라 선수도 아닌데 되게 화내주넼ㅋㅋㅋㅋㅋ
537,어릴땐 몰랐는데 진짜 이쁘시다 외국인들이 생각하는 동양 미인 정석일 것 같음
538,진짜 연아님 앞에서 웃고 뒤에서 울먹이는거 보고 내마음이 찢어지더라 우리나라가 강했더라면... 사마귀년에게 금메달 뺒김ㅡㅡ
539,이때 러시아 부시고 싶었음....... ㅂㄷㅂㄷ 감히 우리 퀸연아를 ..!!
540,진정한 승자가  당신이 챔피언
541,진짜 생각 날 때마다 개 화남;
542,솔직히 이건 지건감이다
543,2020 년 아직도 볼때마다 열받고 승질이난다.
544,"금메달같은 은메달이었고, 은메달같은 금메달이었다"
545,메달의 색은 중요하지 않아요. 모두가 승자를 알고 있으니까요.
546,중요한건 이런 편파의 피해가 김연아만이 아니라는 거에여 우리나라가 진짜 전세계가 지켜보는 올림픽에서 대놓고 편파당한게 한두번이 아니잖아요 그럼에도 아무 제제나 처벌없이 넘어간다는게 너무 열불 나네요 당사자들은 얼마나 억울하고 화나겠어요... 진짜 시간이 얼마나 지난다 해도 잊어서는 안돼요 우리나라가 과거에 다른 나라들에게 피해를 많이 봤죠? 그게 아직까지 남아있어요 우리는 아직도 다른 나라들에게 무시 당하고 있어요
547,2:05 어케 서있는겨 ㄷㄷㄷㄷ 분명히 넘어질 각돈데
548,이것이 어떻게 공정한 게임인가
549,우리나라 대표 올포디움 선수인데 완벽하지 않을리가
550,누가 내 초중고 선배님께 은메달을 줬어!!
551,가끔 열불내고싶을때 보는 영상이랍니다..
552,열받네.  금메달을도둑맞았고  뻔뻔하게  금메달받고 좋아하는 강도를  보자니  울화가 치민다.
553,"러시아,중국은 올림픽 출전시키면 안된다..."
554,그저 당신은 최고였습니다.. 지코바인지뭔지는기억도잘안납니다
555,왜 우리 스포츠를 망가뜨리려하나요 이 말이 제일 꽂히네
556,"미국, 러시아, 중국 영원한 제국은 없다. 역사스페셜 정주행 권해본다."
557,연아선수도 기가막히니까 웃고마네요... 어떻게...
558,AI 시대에 제일 먼저 기계화해야 되는 직업이 심판임
559,더러운 갑질~대단한 연아~
560,많은 사람들의 맘 속에는 소치 올림픽의 금메달은 연느.......
561,소치이후 피겨스케이팅  세계에서 관심사라짐
562,"연아선수 피겨 영상은 볼 때마다 소름돋는데, 소트니코바 피겨 영상도 볼 때마다 소름돋는 실력이예요.  어떻게 저게 김연아를 제친 금메달감인가 보는사람이 쪽팔려서 소름돋음;"
563,역시 세계 최강은 무너뜨릴 수 없지
564,우리 여왕님
565,하...다시 생각나네 이날의 빡침이 ..
566,이태리 언론도 그랬지만 세계각국 언론마저도 분노한 사건이죠...
567,양심없는 쇼트니코바  본인도 영상보면 쪽팔리겠지
568,지금봐도 열받네요...
569,이때 점수 공정하게 다시받았으면 몇점이었을까나
570,국뽕 주관적인 아닌 객관적으로 해설하고 화내고 정말 스포츠만을 스포츠를 스포츠로만 생각한다 부럽다~~
571,다시 생각해도 진짜 개빡치는 상황이 아닐 수 없네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 기성용 원숭이 세레모니 보고 마음 좀 다스려야겠다;..
572,ㅋㅋㅋㅋ 아름다운것엔 진심인 국가 ㅋㅋ
573,그후로 한동안 연아 영상 못봤었지요.너무나 열받아서... 그런데 다시봐도 열받네요
574,왜 우리 스포츠를 망가뜨리려 하나요..?
575,"연느도 어이가 없어서 웃는 점수,, 연느의 눈물은 그저 모든 짐을 내려놓아서 후련한 눈물이지 억울한게 절대 아님 저 형광나방은 애초에 연느랑 비비지 못하는 상대이기 때문에ㅎㅎ"
576,아휴...오랜만에 생각나서 보러옴......ㅋㅋㅋ러시아 저때 도핑 걸린 선수들도 겁나 많았잖음 스포츠정신 똥망 .... 연아 운거 생각하면 개빡치는데 그래도 의연한 연아찡의 대인배같은 모습....그저 빛
577,이탈리아 사람은 이러나 저러나 예술엔 진심이지.
578,이건 너무 억지다 .... 진짜 김연아 선수는 소트니코바랑 비교도 않되게 더  잘 하던데 ....
579,근데 이건말이야 러시아나라자체를  쓰레기라고 말하는꼴.  나방이 말벌을 이긴다고 우기는꼴
580,자막이 뭐든 누가 떠들든 얼굴만 보게 되네요 이뿌다~
