,댓글 작성자,댓글,좋아요 개수,하트 유/무
346,IlCaMa- 일곡동 카밀 장인,애초에 일본인이랑 한국인들 싸가지 부터가 틀림 한국인들은 독도가 우리땅이라는 증거를 대고 말하는데 일본인들은 증거도 없이 ‘한국인들이 말하는건 다 엉터리야’ ‘독도는 일본땅이네’ 이유도 없이 이유는또 하나밖에 없음 ㅋㅋㅋ 전시회에 써져있어!! ㅋㅋㅋㅋㅋ ㅇㅈㄹ,485,없음
347,유동명,09:18 상대 안 해주니 당황ㅋㅋㅋㅋㅋㅋ,1,없음
348,MS GAMING (M),아 뱤캬 라 퓰뱅 들어봤어요 초보자들도 쉽게 접목할수 있다던데 홀짝이랑 비슷한데 먹튀도 없다구,41,없음
349,김자상,지들은 독도가 어디있는지부터 알고 입을 나불거리든가 어딨는지도 모르면서 지네 역사도 모르면서 참 별짓을 다한다.,1,없음
350,어그로아님,다리부터 머리끝까지 화가 치밀어 오르는 영상,0,없음
351,현수 장,이 영상은 전 세계 사람들이 봐야한다고 봅니다... 독도는 한국 땅!!!🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷 🇯🇵❌❌❌❌❌❌❌❌,1,없음
352,신유빈,ㅋㅌㅋㅌㅌㅋㅋㅋㅋㅋ 한국인이 존나 맞는 말만 하니까 팩폭 맞고 쫄아가 걍 같은 말만 내뱉으면서 뒤로 빼네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,360,없음
353,박시현,4:00에 ㅋㅋㅋㅋㅋ밀치는데 안밀쳐지는거 ㄹㅇ 개웃김ㅋㅋ 그냥 진짜 막무가내로 우기는구나,0,없음
354,jun park,........감사합니다... 제가 왜 살아야하는지 깨달았습니다,0,없음
355,구르미,진짜 추하다 추함의 바닥이구나 ㅋㅋㅋㅋㅋ,0,없음
356,praise blessed,김구라 멘탈 강한네.,0,없음
357,으앙으앙,하 진짜 보면서 욕나오는거 참았다,0,없음
358,Sykov's katarina,이건 일본정부의 잘못이큰듯. 무식한것도 죄긴하지만 교육을 잘못하고 있으니,278,없음
359,ᄋ,ㄹㅇ 피가 거꾸로 솟네 ㅋㅋㅋ,11,없음
360,하이,ㅋㅋㅋㅋㅋ 처음보는사람에게 욕박고 밀치고 손가락질을 하는데 일본이 예의를 가장 질 지키는 나라라고? ㅋㅋㅋㅋㅋㅋㅋ 일본인들은 역사공부 할 지능도 없는거임?,424,없음
361,검정이,3:58밀었는데 안밀리는거 래전드,31,없음
362,만준,3:50 힘으로 못밀쳐서 당황하신 일본 꼰데쒸,253,없음
363,244임,3:55 저 비리비리한 체격으로 저런 사람을 밀치는게 되나....😅,0,없음
364,oo pp,"그냥 서로 미국한테 당하는거에요. 우리 주장은 옛 선조부터 독도는 우리땅 이였다는 주장이고 , 일본 주장은 일제강점기 때 독도 우리가 검거했는데 왜 니네 땅이냐고 우기느냐 이거에요. 그런데 중요한건 우리가 광복했을 때 미국에서는 분명 독도를 우리에게 돌려준다고 했지만 독도문제를 일본과는 제대로 협의를 안한거죠(혹은 미국이랑 짜고치는 고스톱인거죠.) 그래서 미국은 지금까지도 독도 문제 가지고 중립의 형태를 띄고 있는 것 이며  ,  이유는 한국과 일본이 서로 으르렁거리는 것 마치 족쇄를 채우는 것과 같아요. 왜냐면 독도가 누구땅인지 세계에 알리기 위해서는 미국의 역활이 중요하기 때문이죠. 그리고 어려서 잘모르거나, 혹은 정말 애국심이 불타서 양국간 서로 헐뜯는 사람들도 있지만 앞서 선동하는 행동대장 라인들은 거의 정치판에서 손쓴애들이에요.",1,없음
365,김현민,저희가 할 말을 (안 그런 사람도 있겠지만)일본사람들이 하고 있네여^^,0,없음
366,글피부터,다 떠나서 여기 나오는 일본사람들 너무 무례하네요. 기분 더러워지는 영상. 일본은 좋아할래도 좋아할수가 없는 나라네요. 뭐 인권문제나 전범문제가 아니라도 그냥 지들이 우릴 싫어하는데 우리가 어떻게 좋아합니까.,614,없음
367,대수,진짜 김구라가 참은게 대단한거임 일본어 잘했으면 저사람들 그냥 아무말도 못함,0,없음
368,우울한 희망,일본인들은 소설을 잘써서 애니가 많나봥,1,없음
369,자 발 적 매 춘,영토는 국제법(1952년 샌프란시스코 강화 조약)가 정합니다.독도는 우리영토가 되지 않았습니다.,1,없음
370,아파치,이럴 땐 듀얼로 정하는 것이다 각자가 가져온 역사적 자료 카드의 신빙성과 빙신성을 체크해가며 승자를 가린다,1,없음
371,방용이방,일본문서에도 한국땅 표시 되어있고 한국땅을 자기네라고 우기는 일본 삐기가 나쁘네요,0,없음
372,ᄒ나야,근데 암만 봐도 너무 무례한데 ㅋㄱㅋㄱㅋㄱㅋ ? 일본땅에 갔다고 무슨 일본말을 써야해 여행을 간거라 쳐도 엄연히 그 나라의 사람인데 무슨 언어를 쓰든 보장받을 권리가 있는데 ㅋㄱㅋㄱㅋㄱㅋㄱㅋ 외국인들한테 말해봐라 어처구니 없어할껄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무례해도 너무 무례하다 ㅋㅋㅋㅋ,341,없음
373,쌤쌤이,큰분이 가시니까 든든하다,0,없음
374,고양이이,황철순 같은 헬창 분들이 저런 거 해봤으면 좋겠다ㅋㅋㅋ,5,없음
375,김소리,일본인들 그럼 이거 해명좀. 본인들 땅이라면서 왜 독도에서 본인나라 사람들이 아닌 대한민국 사람들이 보초를 서고 경비를 서는지 아님 일본 경비대가 있는데 내가 모르는건가?,1,없음
376,ᄒᄋ,"쟤네들도 우리랑 같은생각일걸요 우리도 당연히 독도는 우리땅이라 생각하는것처럼 쟤네도 당연히 독도는 일본땅이라 생각하는거죠 그래서 둘다 상대방주장은 아에 무시하고 자기주장만 맞다고 생각하는거구요 독도가 우리나라땅은 맞습니다만, 우리도 일본이 지네땅이라고 말하는거 솔직히",0,없음
377,엄마예린,아나~ 진짜 일본왜그럼,1,없음
378,J UNE,한국 초딩들 한테 물어봐도 “울릉도 동남쪽 뱃길따라 200리 외로운 섬하나 새들의 고향”이라고  대답할 수 있습니다 ^^,2천,없음
379,언스 [Unstoppable],"""천재는 스스로 바보라하고 바보는 스스로 천재라 한다."" 무언가가 당연하면 그 주장은 펼치지 않는다. 한국은 당연히 독도가 일본 땅이라 생각한다. 하지만 일본은 그 주장이 완벽하지 않기에 주장을 펼치는 것이다.",1,없음
380,〰 〰,한국 : (논리적) 예전 몇년도에 어디책에 일본과 독도는 관계없다 써있음. 일본 : 아 몰라 다케시마 우리꺼 빼애애애애액,305,없음
381,홀리몰리,지금 다시 봐도 진심으로 명존쎄 날리고 싶네,0,없음
382,Lalalala,"1:03 이 분은 마지막까지 자기주장이 아니라 일본정부가 어떻게 주장하고 있는지를, 그리고 그렇게 이야기하는게 일본의 한계라고 하셨는데,정말 객관적으로 이야기하셨는데 마치 자기가 주장한 것처럼 나오시네... 맨처음에 작게 일본정부가 라고 나왔지만 이건 마지막까지 객관적으로 일본정부가 어떻게 주장하고 있는지를 설명해주신 어르신한테 너무하신 것 같아요...",11,없음
383,최정근,독도는우리땅 응원 합니다,1,없음
384,정우찬,마동석 행님이 와서 모두다 진실의 방으로 들어갔으면 좋겠다,11,없음
385,잼민 김,독도가 어디에 있는지도 모르고 일단 무작정 독도가 자기네 땅이라고 우기는 일본인들이 참 한심함 독도는 경상북도 울릉군 울릉읍 독도리에 있습니다.  독도는 우리땅!!!!🇰🇷,0,없음
386,O_O,아니 ㅋㅋㅋㅋ 이거 진짜 애들이 남 장난감 훔쳐서 지꺼라고 하는거랑 똑같은데 ㅋㅋ 찔리면 친구들 부르고 ㅋㅅㅋㅅㅋ한심,298,없음
387,ᄒᄒᄒ,3:59 저기서 안밀리는거 개웃기네ㅋㅋ,2,없음
388,뀨잉뀨잉,3:54바로빼는거 개웃기넼ㅋ,0,없음
389,무전머가리,태어나서 7만 댓글은 처음본다... 역시 독도는 우리땅!,1,없음
390,삐용,무논리 우익에 진저리 나네요 ㅋㅋㅋㅋ친구 데려오는거 너무 웃겨,0,없음
391,로지roji,자막 ㅈㄴ웃곀ㅋ,0,없음
392,esk J,일본 : 보물은 내꺼야! 한국 : 그럼 그 보물이 어디에 있는지는 아느냐? 일본 : 몰라 내꺼야!그냥 내꺼야!,1.2천,없음
393,¿ 강아지 friend ¿,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그렇게 꼭 해야돼닠ㅋㅋㅋㅋㅋㅋㅋㅋ일본 국기 갑자기 개  웃곀ㅋㅋㅋㅋㅋ흐ㅏㅎㅋㅋㅋㅌㅌㅌ,0,없음
394,김영준,김구라가 방송이라서 많이 참고있네요,3,없음
395,건우 이,와...일본 ㄹㅇ 선 넘네 어디 있는지도 모르면서 지들 땅이래 독도는 한국 땅!,0,없음
396,꿈나무tube,와 늣게 영상 보구있지만 독도에 쌀이 유명했구나!!! 역시 쌀은 독도쌀이지  일본인들 대단하다,0,없음
397,조은빈,일본 정부는 진짜 어이 없네요!! 자원 때문에 지들 땅이라고 하고 미국이라고 하면 하와이가 자기들 것이라고 하는거네  진짜 어이가 없네!,0,없음
398,Ten Air 항공교신,제작진 보고있으시면 이거 영어로 자막이랑 제목붙여서 올려주세요 일본이 어떤 나라인지 세계인들이 알아야 합니다.,868,없음
399,치에이크,ㅋㅋㅋ구라아저씨가 키랑 덩치가 커서 난리 더 안친듯,16,없음
400,앙쥬,이제는 짠하다.. 이성없는 짐승처럼 같은 말만 반복하는 앵무새 그 이상 이하도 아니네요.. 그냥 사람이 아닙니다.. 대화 해보려고 해봤자 헛수고네요..,339,없음
401,백앙꼬ᨼ ᩚ,무지성 가래 빌런 개 웃기ㅁㅋㅋㅋㅋ,0,없음
402,마 쪼리나 쪼리믄 쪼린다하든가,11:16 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 표정 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
403,Demon,서로 우기지만말고 주요인사들 모여서 청문회 토론 식으로 증거제출과 논의로 확실하게 정하고 인정하면되지않나 현재로썬 대화조차 불가한데,0,없음
404,Lo,이제는 저걸 보고 일본에 대한 관심이 뚝 떨어졌다.,0,없음
405,박지민,지능의한계 ㅋㅋㅋㅋ,0,없음
406,범궁이,한국에서 길가는 사람들 아무나 붙잡고 독도는 어딨냐고 물어봐라 어린아이 어른 누구나 상관없이 울릉도 동남쪽 뱃길따라 이백리라고 대답할거다 ㅋㅋ,421,없음
407,Suh Kevin,김구라씨가 찍은 수많은 촬영 중 가장 멋있어보였습니다.,1,없음
408,혤리몰리,미동석 설민석 해석 해주는 사람 PD만 있으면 되는데 마동석이 캐리 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,없음
409,학생5511,몇몇 일본인들도 갬념이 없구나...,1,없음
410,jaeheich,"13:01 이건 욕하는게 아니라 팩트 : 일본인들 습성이, 혼자서는 잘 나서지 않지만 조금만 모이면 날뛰는 스타일. 리갈하이라는 일드에서도 이런 일본의 집단선동에 관해서 완곡하게 비판하는 걸 볼 수 있음.",13,없음
411,Korean!🇰🇷,애초에 독도가어디있는지몰르면  그냥 독도에대해서몰르는거아님?? ㅈㄴ웃기넼ㅋ,1,없음
412,김건우,역사가 인정했고 등기부등본에도 한국땅이고 독도경비대도 한국사람이고 독도에있는 의용수비대 기념관이 니들이 무식하게 뺏으려했던 땅이었다는증거다 .결국은지켜냈고 현재도 앞으로도 우리땅이다. 논리적.근복적.역사적으로 너희들은 니들땅이라고 말할자격없다. 과거에도현재인지금도 독도를위해일하고있는 관계자분들께 너무감사합니다.,655,없음
413,_M_유리아,근데 멋있다 많은 사람들 앞에서 당당하게 독도는 한국땅이라고도 말하고 더 멌있다는건 빵 파는 사장님 앞에서 지적하는게 멋있다,1,없음
414,에라이쉬부래,2021년 여름에 올 태풍아 조금만더 힘을내다오!! 조금더 벌크업해서 일본으로 가면 된단다~^^ 힘을내다오~^^,0,없음
415,🦋루아🦋{레몬즈},와...일본인들 이 독도가 지들꺼라 하는거 보고 폰 부실뻔;;; 근데 지들꺼라면서 모르는건 뭐임ㅋ,0,없음
416,ᄒᄒ,11:35 진짜 아무 이유 없이 급발진하네,8,없음
417,한수지,일본놈들 겁나무식함ㅋㅋㅋㅋㅋ 욱이면다인줄암ㅋㅋㅋ  이거보면서 방송 찍는다고 참은 김구라 겁나대단함!!,0,없음
418,명란젓코난,독도는 한국땅   独岛是韩国领土,5.4천,없음
419,존제임스,아무리 방송이지만 아오 구라형 진짜 잘참는다..,0,없음
420,카타르시스,독도라는 곳은 존재하지만 다케시마라는 곳은 존재하지도 않는데 다케시마가 어딨는지 모르는건 당연하겠죠,277,없음
421,s j,그나저나 03:48 이장면 완전 코메디인데욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,없음
422,박슬지,그냥 한마디로 개웃경ㅎ,1,없음
423,푸루tv,독도가 어딨는지도 모르면서 지들 땅이라고 주장하는 일본이 참...,0,없음
424,채효주,일본:다케스마는 우리땅이야 한국:그래 그 대신 조건이 있어 일본은 우리 한국 땅이야 ㅋ 일본: ... 제가 이 글을 작성 하면서 도독땅이 일본거라고 했을때 한국이 그래 라고했때 정말 죄송합니다 🙏,0,없음
425,송원영,한심하다... 저러니까 일본에 수준이 얘전에 멈춘거지,0,없음
426,도팔,일본인들 말 일본인'독도는 일본땅 이야' 한국사람'이유가 뭔가요 일본인,414,없음
427,승현,우린 뱃길따라 이백리 외로운 섬하나 새들에고향 이라 배웠습니다,10,없음
428,양건우,그나마 마지막에 경찰이 제일착하네 사과도하고,1,없음
429,IDK_HIKU,지네 나라 꺼라면서 어디있는지도 모르는 일본인들에게 법규를,0,없음
430,Cindy518 Fanpage,이거 은근 잼 있어서 계속 보게 댐!!,3,없음
431,이송송,뭔가 일본인 한테 미안한 기분....,0,없음
432,이쑝이,일본여행좀 가지맙시다. 이런거보면서도  한국사람이 잴많이  여행가는거같던데.. 코로나땜에 지금은  못가지만  앞으로도  일본은 아웃...,221,없음
433,ᄏᄏᄏᄏ,보는동안 주먹에 힘이 계속 들어가네,1,없음
434,아니 닉넴 뭘로 하지,13:49 아니 뭐하러 왔냐고 물어봤으면서 닥치래ㅋㅋㅋㅋ,508,없음
435,리제이,일본은 어쩜 저렇게 한결같이 뻔뻔스러울까,0,없음
436,자아주의,영상 초반 부터 시청자들의 과몰입을 너무 유도하는식의 편집이라 시큰둥하게 봤으나 저게 모두 사실이고 저 화난 일본인들이 앞뒤 맥락도 없이 정신병 걸린거 마냥 독도는 일본땅이라고 무한 반복 하는게 연출이 아니라 실제 상황이 맞다면 매우 실망스럽네요 실제상황이라고 믿기 힘들 정도에요,0,없음
437,로블 의 정시피,제친구가 일본인 인대 그 친구는독도가 한국땅이래요,1,없음
438,희락,가정교육을 독학한 불쌍한 친구들입니다 욕하지 말고 폭력으로 대해주세요,158,없음
439,정고운,"마동석에다가 설쌤 or 큰별쌤 데려가서 논리, 물리로 설명합시다!",0,없음
440,김준식,저기서 일본어 잘하는 한국인이 그때그때 반박해주는 장면 있었으면 통쾌했을텐데..ㅠㅠ 아쉽다.. 일본어 공부나 한번 해볼까..,205,없음
441,아름,책을 딱 한 권만 읽으면 어떻게 되는지 보여주는 것 같다,0,없음
442,강태공,중요한것은 일본국민은 독도가 다케시마라는것입니다 교육이 중요합니다 일본인들은 그렇게 생각하고 그렇게 교육받고있습니다,0,없음
443,성병선,저사람 들은 지옥을가야되,1,없음
444,SMK HERA,때로는 학교쌤&엄마 말이 틀릴때가 있는 법.,1,없음
445,리듬게임 마스터,ㅉㅉ..일본인 그래도 착한 사람들 있을줄 알았거든? 이거 보자마자 생각 싹 바뀌드라...,0,없음
446,정우성,우리나라 사람들은 독도가 당연히 우리나라 땅이라 굳이 티 안 내는데 일본은ㅋ,735,없음
447,레하,3:55 밀쳐도 안움직이는거 개웃기네 ㅋㅋㅋ뻘쭘해서 퇴장,1,없음
448,가능,비매너의 끝을 보여주네,0,없음
449,기요미,근데 본인들 영토 가는데 원래 여권이 필요했었나? 진짜 위치도 모르면서 빼액 우리꺼야 하는거 난도질 마렵네,0,없음
450,musan Notre,일장기의 상징은 음침하고 수줍고 내성적여서 겨우 꺼냈던 여신아님.. 그러니 다들 민감하고 조심스럼,2,없음
451,랩터블루(RB!J.Y),따라오는거 개 웃기네ㅋ,0,없음
452,비스비,3:57 꿈적도 안하는거 개웃기네ㅋㅋ,0,없음
453,루브,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기네 땅을 안다면서 해놓고 모른덱 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
454,안녕하세여,너무 자신만만한게 짜증나고 기분이 나쁘네요,0,없음
455,마크오리,이거 하나 말하면 일본 역사학자 중에서 독도가 일본 땅이다 라는 학자는 아무도 없어요,0,없음
456,이시온,일본 학자 중 독도는 일본 땅이라 하는 학자 0명ㅋㅋㅋㅋ,0,없음
457,루체테.Lucete,그냥 일본정부가 나쁜건줄 알았는데 그나라 그시민 이구나...독도 주장을 떠나서 기본적으로 예의가 없네,491,없음
458,08,저런놈들을 욕해주시는 사이다여러분이 이시대의 독립투사이십니다,0,없음
459,TaRe NeKo,섭외한애들 연기 넘 못한다궄ㅋㅋㅋㅋ,0,없음
460,Eifel Lee,한국인들은 여권이 없어도 독도에 갈 수 있지만 일본인들은 여권이 필수적이다. ㅎㅎ 뭐다? 독도는 한국 영토에 소속됐다.,684,없음
461,x_x,"일본이 독도를 자기땅이라고 우기지만, 우리 땅인 결정적인 근거 1가지  1 ) 세종실록지리지에서 우산(독도)과 무릉(울릉도) 두 섬이 울진현의 정동쪽 바다에 있다. 두 섬이 서로 거리가 멀지 않아 날씨가 맑으면 볼 수 있다.",0,없음
462,정정희,내용없이  어거지쓰는모습이   어째 짠하다,0,없음
463,쭈니냥tv,독도위치 동경131 북위37 인데 모르면서 지네 땅이라고 우기는게 어이없음.,0,없음
464,김민성,7:52 그래도 할부지 양심은 있으시넹...,1,없음
465,미호룸,"교육의 중요성.. 사실을 가르침받지 못하고, 도덕마저 배우지 못해 거부감정도가 아닌 혐오감으로 먼저 바라보는 화나고 슬픈 현실... 독도는 한국땅입니다. 아무리 우겨도 역사는 진실만을 말하니, 적당히 했으면 좋겠네요. 앞뒤 안가리고 일단 욕부터 해대니 한국인도 자연스럽게 일본 자체에 거부감이 생기고 참..",0,없음
466,준서,하...일본은 왜 독도를 일본땅이라고 하는지.. 이해가 안가네.. 독도는 한국땅인데..,187,없음
467,이상민,어 너무 꿀잼 잼민이가 귀 막고 아아아 하는 거임ㅋㅋ,30,없음
468,Kim Lionel,10:42 그러게 손가락질 김구라 주특긴데 ㅋㅋㅋ,198,없음
469,경은 임,아니 머리가 없는건가 일본진짜  왜저람? 아니 지들이 그 독도 지들꺼라고 생각하는것도 이상한데 그냥 일반인한테 나가라뭐라 난리하는게 진짜 뭐하는건지 진짜 하..,0,없음
470,임형수,일본인들:(독도가 어디있는지 상관 없음) 돠케시마는 일본 땅이.....땅.......ground야! 한국인들:(독도가 어딛는지알음)무라 씨부러 쌌누!,0,없음
471,off sent,나라면 저기 다 박살냈을텐데 기왕가신거 다 박살내고 오시지 왜 그냥 계셨어요 오히려 방송이 더 흥행했을텐데,0,없음
472,a good citizen,일본에 한국사람은 오지 마랍니다. 절대 관광은 가지 맙시다.. 일본에 오지 말라내요.. 우린 일본분 관광와도 됩니다..,207,없음
473,함우태,3:16 무서워서 그냥 지나감 ㅋㅋㅋㅋㅋㅋㅋ,0,없음
474,라미,존나 당당하게 말하는게 개킹받음..,0,없음
475,DANONE TAP,당일날 바로 소액으로 뱤캬/라퓰/뱅 당일환젼 해주던데 뱤`캬`라`퓰`뱅 먹튀도 없고 돈도 벌고 지금 선착 20명만 받는데,434,없음
476,Arin Ryu,내가 저기 있었으면 한국의 매운맛을 쫌 보여줫을텐데,0,없음
477,Babar B.S,"요즘 뱤 캬라 퓰뱅 이라고 주식,코인보다 좋음 ㅋㅋ 돈벌기 좋누",621,없음
478,나대장,아니 ㅋㅋㅋㅋ 저렇게 발전도 없고 지능도 없고 멍청하게 우길줄만 아는 나라가 어떻게 OECD국가임?ㅋㅋㅋㅋㅋㅋㅋ 어이가 없네,175,없음
479,Vicki O,저 때 같이 간 세 분이 그나마 거의 180 넘는 키에 덩치도 있으니까 적당히 밀리지 않고 넘어간거지 ㅋㅋ,4,없음
480,이정은,저렇게 대답하는 이유는 교육을 잘못 받아서 그래요.,459,없음
481,lee,저런 말싸움은 잼민이들이 필요해! 잼민이들도 쓸때가 있었군,0,없음
482,4스날,3:57  밀어는데  꿈적도 안해서  당황한거 왜 이렇게 웃기냐 ㅋㅋ.,1,없음
483,"민서남친, 도율",일본 역사학자들중에서 독도 일본땅이라고 하는 사람없어 이 바보들아,0,없음
484,냥큐브,0:05 시작부터 원숭이가말을한다? 너무 재밌고,7,없음
485,수현,지들 독도 어디있는지도 모르면서 지네들 땅이라고 하는거 개웃기넼ㅋㅋㅋㅋㅋㅋ,10,없음
486,지민,근데 일본 사람들도 불쌍하다 저렇게 잘못된 지식을 배워놨다가 한국영토인걸 밝혀지고 난후 쟤네는 얼마나 쪽팔릴까 ㅋㅋㅋㅋㅋㅋ,648,없음
487,박한별,아니 저 마스크남 분 독도는 일본 땅이리고 말하면서 🍎폰 대놓고 보여주는 거 갑자기 현웃 터지네..ㅋㅋㅋ,0,없음
488,way Milky,저도 맨처음엔 독도 위치 햇갈리다가 울릉도 옆에있는거 아닌가...? 하다가 급 독도는 우리땅 노래가사 기억나서 알게됐어요ㅋㅋㅋ울릉도! 동남쪽! 뱃길따라 이백리!(87K)! 외로운! 섬하나! 새들의 고향! 그 누가! 아무리! 자기네 땅이라고 우겨도! 독도는 우~리땅! 우리땅! ,0,없음
489,김승원,이제는 이런거 봐도 화 안나도 웃김 ㅋㅋㅋ 시비거는거 왜케 웃기냐 ㅋㅋㅋㅋ 면역성임 독도 우리나라이다 이제는 입이 아픔 우리는 증거만 내도 이김ㅋ,1,없음
490,박민우,그래도 상황 커지지 않고 마무리된게 오히려 다행인듯 합니다. 저런곳은 분명 우익뿐 아니라 야쿠자들도 연계되있을거고 (뺏지+말투로 추정),0,없음
491,수빈 황,독도는우리땅 우리땅!,1,없음
492,ᄋᄋᄋ,독도를 그냥 싸우지말고 일본한테 주면 안되냐라고 하시는데 우리나라 사람들이 살고있는 대한민국 땅이며 주변에있는 바다의 소유권도 없어집니다 원레 대한민국땅인데 그걸 왜 줍니까 🤔,156,없음
493,서연,"우산(독도)과 무릉(울릉도), 두 섬이 현의  정동방 바다 가운데에 있다.  두 섬이 서로 거리가 멀지 아니하여,  날씨가 맑으면 바라볼 수 있다.",1,없음
494,김희준,영감들 발작 오지네 진짴ㅋㅋㅋ,2,없음
495,길고양이을 키우는 사람,3차 세계대전 하면 일본부터 공격했서 용서받자,0,없음
496,내가누굴까,게스트로 격투기 선수같은사람 갔을때 반응 궁금하다 ㅋㅋㅋㅋ,0,없음
497,율희 김,독도는 우리 땅에 있는데  있는데 일본 계속어기네  일본 나빴다,0,없음
498,한국산상어,알고리즘 덕분에 일본이 얼마나 한심한 나라인줄 알았네 위치도 모르면서 우리땅이라고 우기면 다른나라도 다 자기들 땅이네,157,없음
499,이지은,팩트 : 일본 사람들이 독도 갈려면 여권을 내야합니다. 하지만 우리 대한민국 국민들은 여권이 없어도 들어갈 수 있습니다. 과연 누구의 땅 일까요?,0,없음
500,서녜,외국인들 알고리즘에 이 영상좀 띄워줘라,345,없음
501,Yougin Kim,한국이 꽤나 매력이 있나보네. 원래 정말 못났으면 상종도 않할탠데.,0,없음
502,율림TUBE,여기에서 그그 욕 찰지게 하는 할머니 딱 오면 을마나 좋을까..,0,없음
503,달이,와...욕하고 싶을정도로 많이 답답해.... 독도는 한국땅입니다,0,없음
504,폭풍,김구라의 짜증난 표정과 영혼없이 무식함에 떠드는 일본인의 멘트가 정말 오버랩되는게 웃프네 ㅋㅋ,0,없음
505,이희겸,진짜 나쁜 사람들이다.,0,없음
506,토끼꾹이🐰,"전에 일본여행 갔었을때 대한민국 위인 리포트를 작성하는것 때문에 길가면서 유관순 열사님에 대해 보고있었는데 핸드폰 화면을 본건지 갑자기 옆에서 ""다케시마는 일본땅이야(일본어 할줄압니다!)""  하길래 그사람 면전에다가 독도는 우리땅 ㅈㄴ 열창함ㅋㅋ 사람들 다 모여서 좀 쪽팔리긴했는데 지나가던 한국 할아버지네 가족이 따봉하고 가심ㅋㅋ",323,없음
507,김나연,저런행동들은 본인들이 무식하다는걸 제대로 보여주는 행동같음,2,없음
508,냥으시브사,일본 여행갔는데 저러면 난 죽여버리고 감옥가는게 더 마음펀할듯,0,없음
509,신승윤,어찌보면 저사람들도 불쌍함.. 우리는 독도가 우리나라 땅인거 우리도 알고 그러지만 저 사람들 입장도 이해는 되는게 평생 저 땅은 우리땅이고 이러이러한 증거가 있으므로 우리땅이다 이렇게 배웠는데 갑자기 옆나라에서 저 땅은 우리땅이다 이러는데 어이없긴 할거임. 물론 저기서 몸싸움 일보직전까지 가고 함부로 행동한 사람들은 분명 잘못된게 맞음. 근데 저사람들도 저걸 평생 몇십년을 배워왔는데 우리가 독도가 한국땅이라 하는게 어이가 없는거도 어찌보면 당연함. 사실 저사람들보다도 제일 나쁜건 역사왜곡해서 가르치는 일본 윗대가리들이 아닐까.. 어찌보면 저사람들도 모르고 본인들이 맞는줄알고 저렇게 뻘짓하는건데 불쌍함..,0,없음
510,Lol Kkkk,저기 마동석있었으면 사이다였닼,1,없음
511,이찬,뭔 일본땅이라하지 일본 우리나라 옛날에 점령한것도 모자라서 이젠 우리나라땅도 뺏을라하네:,290,없음
512,건우,저 상황에서 욕안쓰고 버틴게 신기할 따름,0,없음
513,Hou- SSeong,역사를 잊은자에게는 미래란없다 인간은 실수를하고 반복한다 역사또한 똑같다,0,없음
514,밤하늘night sky,일본은 진짜 비매너인사람 많다;;;;,0,없음
515,아무것도없음,김구라랑 싸우면 개쳐발릴듯ㅋㅋ,3,없음
516,강지희,요기댓들에있는 찬쓰님답글에 나쁜사람이있는데 어떻게 처리 안될까요? 한국인욕을 많이했다는걸 자기도 이해할 정도니까요.,0,없음
517,박서아,아 진짜...보다보니까 너무 화네...뭘계속 가래거려 가래가 뱉고싶으면 화장실을가든가..,247,없음
518,조얼떨결에깨끗한발,보면서 개쳐웃었네ㅋㄱㅋㄱㅋ 우울할때 보면 개 웃김 ㅋㅅㅋㅋㄱㅋㅅㅌ,0,없음
519,Rhythm Bug,이걸보고 우리나라 잼민이가 더 똑똑하다고 느낀다,0,없음
520,d5ubl2y j25n,국민의 대다수가 여권도 없는 나라의 국민들 답군요. 국민의 대다수가 정치에 관심이 없는 나라의 국민들 답습니다. 뭐가 어디 붙어 있는지도 모르면서 무조건 지들 땅이라고 하는 그 수준이 참 볼만하네요.,233,없음
521,달려가,구라형 옛날 같았으면 욕을 한바가지 시원하게  해줬을 텐데..,0,없음
522,앙웅,진짜 구질구질하다  가만히 있던 사람들 걸고 넘어져서는 증거도 논리도 없는 말로 무조건 우기는데 저걸 옆에서 보는 일본인들도 그치 맞지 이거지 이 생각을 하고 있다니 참 ㅋㅋㅋ 괜한 소유욕을 부리네 팩트가 있음에도 불구하고 찾아보지도 않고 무조건 우기고 폭력적으로 행사하려고 하는데 그게 얼마나 찌질해 보이고 무례해 보이고 교육을 어떻게 받아 쳐먹은건지 도통 모르겠는데 ㅋㅋㅋㅋ 물론 좋은 일본분들도 많으신데 왜 저렇게 아무한테나 대들고 싸가지 없게 구는거냐,0,없음
523,정세라,근데 독도가 우리 땅인데도 우리도 저렇게까진 안 하는데 좀 많이 이상하네......,0,없음
