,댓글 작성자,댓글,좋아요 개수,하트 유/무
52,JJAE,ㅋㅋㅋㅋ저거 금 받자마자 뛰어간거 심사위원임...진짜 어이없지않음???다 짜고친걸 일부로 티내나,1.4천,없음
53,Yayyay,심판들 분명 연아가 점프 실수 하나라도 할줄 알았는데 프리까지 클린하니까 개당황한거 goe에서 느껴짐ㅋ 진심으로 목숨걸고 솥뚜껑한테 금줬네 푸틴이 겁나 협박했겠지 ㅁㅊ,6.6천,없음
54,승냉동공조 ICE MAN,김연아선수는 우리에 영원한 금메달리스트 입니다.,45,없음
55,&I You,이탈리아 해설자의 마음이 러시아와 일본?빼고 다같은 마음이었습니다..아직되열받네..소트니이전 점수를몰랐는데..같은프로로 에버리지 180인선수가 하루아침에 무슨 220이넘나..이건 코믹이다,813,없음
56,XIIX,너무 미안해서 눈물이 난다,13,없음
57,DAMI JOONEY,저때 진짜 지켜주지도 못하고 진짜 맘 찢어짐.............ㅠㅠ,2,없음
58,Somin Lee,"몇몇 사람들이 소트니코바가 김연아보다 프리에서 점프 한개를 더 뛰어서 금메달이 정당했다고 했는데, 프로그램 난이도 자체는 김연아꺼가 훨씬 더 난이도가 높죠. 당장 스텝시퀸스만 하더라도 김연아가 훨씬 더 어려운 기술을 썼는데도 스텝3주고 소트니는 스텝4 ㅋㅋㅋ 글구 쇼트에서도 김연아가 어려운 난이도의 트리플 점프를 구사했는데 소트니보다도 적게 줄랑말링하고… 소트니는 그냥 넘어지지만 않으면 가산점 3점을 챙겨간 반면 김연아 선수는 완벽한 자세로 뛰었어도 1 아니면 2 가산점밖에 못받았더라구요.",4,없음
59,hjif,"대놓고 외신이 강도,명예 실추,금메달 뺏겼다 라는 단어들 썼을 때...ㅋㅋ",9.1천,없음
60,Mina,이탈리아 교포로서 이 이탈리아어 버전의 해설은 처음 보네요. 해설자들의 분노가 깊이 느껴집니다. 저도 화가 나고 가슴이 먹먹하네요. 김연아는 영원한 영웅입니다.,48,없음
61,K L,공산주의의 무서움을 보여준 올림픽.  이래서 러시아랑 중국은 안되는거다.  연아 금메달 땄으면 못 돌아가는 사람 여러명이었을거다. 진심.,4.3천,없음
62,pink pong,"근데 더 대박인건 그 와중에 손연재가 소트니코바가 금메달 들고 찍은 사진에 좋아요 눌렀다는거..ㅋㅋㅋ 처음에 알았을땐 진짜 충격이었음, 둘다 좋아했었는데 정.뚝.떨.",4.4천,없음
63,달이블리,연아 언니 꽃길만 걷자 ㅠㅠㅜ 결과나올때 웃는게 진짜 맴찢....진짜 이건 사람이 양심이 있는데 그걸 팔아먹네 그래도 우리 연아언니가 세계최고야 ㅠㅠㅠ 나쁜 러시아 심판 놈들;;,15,없음
64,UBAY,러시아는  금메달을 얻었고 피겨 스케이트는 더 이상 스포츠 취급을 받지 못하게 된 사건.,347,없음
65,hj S,재능있는 사람이 노력까지 하면 어떻게 되는지를 똑똑히 보여주는 사람이 김연아...,45,없음
66,월광 [Moonlight],해설 시원하게 맞는 말 하네..,5,없음
67,warandpeace,"아니 클린 연기랑 넘어진 연기 중 넘어진 연기가 이긴게 말이됨?? 예술성은 말할 것도 없고 기술성에서도 개딸렸는데,, 모두가 연아가 금메달이란걸 알고 있음",4.6천,없음
68,whddnddl,"좀 외람된 얘기지만 02월드컵에 대해서 스페인 사람들이 느끼는 감정이 우리가 느끼는 감정이랑 비슷할 거라고 생각함,, 다른 경기들과 비교했을 때 스페인전은 정말 우리에게 유리한 오심이 많았음,, 스포츠는 공정하고 정정당당하게 실력을 평가받을 때 비로소 빛나고 의미 있는 거니까 ,,",2,없음
69,장민석,가끔 개빡치고싶을때 보는영상이랍니다...,3.1천,없음
70,김지수,진심... 소트니코바가 기뻐서 달려가는 모습보고 손발 덜덜 떨릴 정도로 열불났었는데 정작 김연아 선수 본인은 덤덤하게 받아드리는 모습 보고 저까지 냉각된듯 급진정됐었죠. 결과가 뭐가 됐든 김연아는 김연아다. 금메달 없이도 존재만으로 증명되는 김연아 증맬루 싸랑해❤,101,없음
71,윤채린,"요즘 피겨가 갑자기 좋아진 어린 사람임. 그래서 2주를 찾아보고 돌려봤는데 온통 소치올림픽 오심이었다.. 아직 잘 몰라 기술, 가산점이 어디서 붙는지 모르지만 이건 완벽한 연아선수의 경기였고 완벽한 오심이었다.... 대체 누가 이 결과를 인정할까.... 금메달... 다시 돌아오기를 바란다...",2,없음
72,뾰로롱,3:10 신나서 뛰어가는거 개역겹다;;;;,3.4천,없음
73,다두거쓰,끝나고 기자회견때 연아에게만 질문이 가니 빡쳐서 나간 나방이 생각나네.네 생각에 네가 금메달을 훔친게 아니고 땃다고 생각하는 자체가 망상이며 도둑질이야,2.2천,없음
74,꽃보다 규,"다시 봐도 열받네. 그 와중에 의연한 울 여왕님의 표정... 절대 품위를 잃는 법이 없잖아. 소트니야, 양심 있으면 반납해라, 금메달. 늦지 않았다. * 팔려서 그걸 집에 두고 어찌 사냐, 비굴하게.",1.1천,없음
75,Mjj,개인적으로 이 경기가 피겨스케이팅의 무덤이라고 생각 됨.. 이 이후로 쿼드의 시대가 열리면서 원래 피겨의 본질은 퇴색되고 이젠 가볍고 어린 선수들 (특히 러시아..) 중에 누가누가 잘 뛰나 대회가 되었음. 안 그래도 짧던 선수생명은 더 짧아졌고.. 이럴거면 그냥 얼음 위에서 하는 육상대회라고 하지..ㅋㅋ 퀸의 스케이팅이 참 그립습니다..,68,없음
76,아이 수근아 왜 그러니,왜 우리 스포츠를 망치려고 하나요... 진짜로 자신들의 스포츠를 사랑하는 사람이 저 상황에서 저렇게 말할 수 있을 것 같네...,1,없음
77,Gayoung Baek,그때 생각이 나면서 눈물 났어요. 진정한 여왕은 연아선수! 고맙고 사랑합니다.💜,2,없음
78,권하은,이탈리아 해설자분 내취향 ㅋㅋㅋㅋㅋㅋ,4,없음
